id,estimated_price,name,no_of_items,sold_items,available_items,grade,yuyu_price,yuyu_av
BD/W95-100SP,1380.0,SP  未知との遭遇 八潮瑠唯,5,5,0,A,1980,2
BD/W63-058SP,2110.0,SPM  あたしはあたし 氷川日菜,1,1,0,C,1980,5
BD/W95-045SP,1710.0,SP  六花の全力 ロック,5,4,1,A,1980,2
BD/W54-056SP,1660.0,SP  真っ白な居場所 白鷺千聖,7,6,1,B,1980,4
